iter	Passed	Remaining
700	15484	24849
701	15545	24889
702	15610	24936
703	15622	24898
704	15635	24862
705	15648	24825
706	15670	24802
707	15687	24772
708	15705	24743
709	15724	24716
710	15786	24756
711	15851	24800
712	15920	24851
713	15975	24880
714	16013	24881
715	16079	24928
716	16143	24968
717	16207	25011
718	16233	24993
719	16299	25037
720	16365	25081
721	16425	25115
722	16444	25088
723	16457	25049
724	16477	25022
725	16485	24977
726	16496	24937
727	16505	24894
728	16515	24852
729	16582	24897
730	16592	24855
731	16602	24813
732	16614	24774
733	16624	24732
734	16633	24689
735	16641	24645
736	16654	24609
737	16666	24570
738	16680	24535
739	16690	24494
740	16746	24520
741	16814	24563
742	16823	24521
743	16831	24478
744	16850	24450
745	16866	24417
746	16877	24378
747	16886	24337
748	16899	24299
749	16913	24265
750	16973	24296
751	16982	24254
752	16996	24219
753	17005	24178
754	17067	24210
755	17078	24172
756	17090	24133
757	17099	24092
758	17116	24061
759	17128	24024
760	17139	23986
761	17151	23948
762	17158	23904
763	17169	23866
764	17182	23831
765	17195	23794
766	17205	23756
767	17222	23725
768	17230	23683
769	17245	23650
770	17256	23612
771	17266	23573
772	17326	23602
773	17349	23581
774	17364	23548
775	17377	23513
776	17395	23485
777	17417	23461
778	17430	23426
779	17451	23403
780	17461	23364
781	17479	23335
782	17556	23386
783	17573	23356
784	17595	23333
785	17609	23300
786	17674	23333
787	17686	23297
788	17693	23255
789	17701	23213
790	17709	23171
791	17720	23135
792	17728	23094
793	17768	23094
794	17782	23061
795	17801	23034
796	17816	23002
797	17835	22976
798	17849	22942
799	17863	22909
800	17874	22873
801	17882	22833
802	17898	22801
803	17916	22774
804	17929	22740
805	17953	22720
806	17965	22685
807	17982	22655
808	17992	22619
809	18023	22607
810	18034	22571
811	18045	22534
812	18076	22523
813	18150	22565
814	18159	22527
815	18175	22496
816	18189	22464
817	18208	22437
818	18221	22404
819	18242	22380
820	18264	22357
821	18283	22331
822	18301	22304
823	18317	22274
824	18353	22269
825	18373	22243
826	18397	22223
827	18448	22236
828	18461	22202
829	18474	22168
830	18485	22133
831	18545	22157
832	18559	22124
833	18569	22086
834	18595	22069
835	18603	22030
836	18627	22010
837	18646	21983
838	18662	21954
839	18675	21921
840	18690	21891
841	18706	21861
842	18725	21835
843	18742	21806
844	18754	21773
845	18819	21799
846	18845	21782
847	18859	21750
848	18878	21724
849	18888	21687
850	18895	21649
851	18911	21619
852	18930	21593
853	18951	21570
854	18959	21532
855	18977	21505
856	19013	21498
857	19033	21474
858	19052	21447
859	19074	21425
860	19089	21394
861	19102	21362
862	19113	21328
863	19137	21308
864	19202	21333
865	19271	21363
866	19307	21356
867	19367	21375
868	19431	21399
869	19452	21375
870	19466	21343
871	19486	21319
872	19501	21288
873	19514	21256
874	19527	21223
875	19539	21189
876	19552	21158
877	19564	21124
878	19579	21094
879	19591	21060
880	19602	21026
881	19618	20997
882	19634	20968
883	19648	20937
884	19659	20903
885	19671	20870
886	19680	20834
887	19695	20804
888	19707	20771
889	19734	20754
890	19747	20722
891	19759	20689
892	19775	20660
893	19790	20631
894	19800	20596
895	19816	20568
896	19826	20534
897	19841	20504
898	19856	20475
899	19868	20442
900	19888	20418
901	19914	20399
902	19936	20377
903	19958	20355
904	19985	20338
905	20006	20315
906	20023	20288
907	20045	20266
908	20064	20240
909	20085	20217
910	20102	20190
911	20120	20164
912	20136	20136
913	20152	20108
914	20164	20076
915	20179	20047
916	20194	20018
917	20208	19988
918	20225	19961
919	20235	19927
920	20249	19897
921	20260	19865
922	20274	19834
923	20287	19804
924	20295	19768
925	20307	19737
926	20321	19707
927	20338	19680
928	20348	19647
929	20362	19617
930	20370	19582
931	20385	19553
932	20410	19535
933	20424	19506
934	20438	19476
935	20501	19494
936	20511	19460
937	20521	19427
938	20530	19393
939	20540	19360
940	20553	19330
941	20566	19300
942	20579	19269
943	20587	19235
944	20597	19202
945	20620	19182
946	20629	19148
947	20640	19116
948	20658	19090
949	20669	19059
950	20682	19029
951	20692	18997
952	20703	18965
953	20718	18937
954	20730	18907
955	20740	18874
956	20753	18845
957	20770	18818
958	20779	18786
959	20789	18753
960	20799	18721
961	20807	18687
962	20819	18657
963	20829	18625
964	20843	18596
965	20853	18564
966	20862	18532
967	20873	18501
968	20882	18469
969	20892	18437
970	20901	18404
971	20911	18372
972	20922	18342
973	20937	18314
974	20944	18281
975	20954	18249
976	21005	18253
977	21017	18224
978	21026	18191
979	21040	18163
980	21053	18134
981	21065	18104
982	21078	18076
983	21086	18043
984	21097	18012
985	21105	17980
986	21116	17950
987	21124	17917
988	21132	17884
989	21147	17858
990	21159	17828
991	21174	17801
992	21197	17782
993	21209	17752
994	21218	17721
995	21231	17693
996	21240	17661
997	21254	17633
998	21264	17603
999	21277	17575
1000	21290	17547
1001	21301	17517
1002	21309	17485
1003	21320	17455
1004	21330	17425
1005	21340	17395
1006	21353	17366
1007	21371	17343
1008	21383	17314
1009	21394	17285
1010	21409	17258
1011	21425	17233
1012	21447	17212
1013	21457	17182
1014	21466	17152
1015	21528	17163
1016	21547	17140
1017	21557	17110
1018	21570	17082
1019	21583	17055
1020	21593	17025
1021	21605	16996
1022	21616	16967
1023	21629	16940
1024	21641	16911
1025	21651	16882
1026	21660	16851
1027	21670	16821
1028	21682	16793
1029	21693	16765
1030	21701	16733
1031	21714	16706
1032	21727	16679
1033	21738	16651
1034	21751	16623
1035	21765	16597
1036	21775	16567
1037	21785	16538
1038	21801	16513
1039	21843	16508
1040	21860	16484
1041	21872	16456
1042	21883	16428
1043	21894	16399
1044	21906	16372
1045	21914	16341
1046	21926	16314
1047	21942	16289
1048	21963	16268
1049	21980	16244
1050	21993	16217
1051	22008	16192
1052	22024	16168
1053	22039	16143
1054	22054	16117
1055	22072	16094
1056	22087	16069
1057	22099	16041
1058	22110	16013
1059	22126	15989
1060	22146	15968
1061	22163	15944
1062	22178	15919
1063	22190	15892
1064	22208	15868
1065	22222	15843
1066	22235	15816
1067	22251	15792
1068	22268	15768
1069	22286	15746
1070	22299	15720
1071	22320	15699
1072	22348	15683
1073	22361	15657
1074	22374	15630
1075	22396	15610
1076	22407	15583
1077	22420	15557
1078	22431	15529
1079	22444	15503
1080	22455	15475
1081	22472	15452
1082	22485	15426
1083	22501	15402
1084	22514	15375
1085	22528	15351
1086	22538	15322
1087	22551	15296
1088	22618	15307
1089	22628	15279
1090	22638	15251
1091	22651	15225
1092	22664	15199
1093	22678	15174
1094	22740	15181
1095	22765	15163
1096	22826	15169
1097	22850	15150
1098	22910	15155
1099	22973	15162
1100	23001	15146
1101	23064	15152
1102	23124	15157
1103	23148	15138
1104	23207	15142
1105	23268	15147
1106	23279	15120
1107	23345	15128
1108	23363	15105
1109	23424	15110
1110	23488	15116
1111	23565	15130
1112	23583	15107
1113	23650	15115
1114	23668	15092
1115	23703	15080
1116	23753	15076
1117	23818	15083
1118	23878	15087
1119	23900	15066
1120	23928	15048
1121	23950	15027
1122	24014	15033
1123	24081	15040
1124	24122	15031
1125	24193	15040
1126	24267	15051
1127	24303	15038
1128	24322	15015
1129	24385	15019
1130	24410	15000
1131	24480	15008
1132	24553	15018
1133	24617	15022
1134	24683	15027
1135	24744	15029
1136	24765	15007
1137	24782	14982
1138	24794	14955
1139	24805	14927
1140	24830	14906
1141	24846	14881
1142	24858	14853
1143	24878	14831
1144	24892	14805
1145	24953	14806
1146	24990	14793
1147	25058	14799
1148	25125	14803
1149	25143	14780
1150	25202	14780
1151	25237	14765
1152	25302	14768
1153	25364	14770
1154	25426	14771
1155	25487	14771
1156	25500	14745
1157	25535	14730
1158	25594	14729
1159	25659	14732
1160	25675	14706
1161	25695	14682
1162	25718	14661
1163	25751	14645
1164	25761	14616
1165	25781	14593
1166	25799	14568
1167	25846	14560
1168	25856	14531
1169	25876	14508
1170	25956	14518
1171	25972	14493
1172	26024	14487
1173	26058	14472
1174	26077	14448
1175	26096	14423
1176	26110	14397
1177	26136	14377
1178	26148	14349
1179	26162	14322
1180	26175	14295
1181	26187	14267
1182	26251	14268
1183	26266	14242
1184	26326	14240
1185	26387	14239
1186	26451	14239
1187	26511	14237
1188	26581	14241
1189	26647	14241
1190	26679	14224
1191	26693	14197
1192	26743	14190
1193	26809	14190
1194	26844	14174
1195	26897	14168
1196	26909	14140
1197	26927	14115
1198	26987	14112
1199	27013	14092
1200	27027	14065
1201	27040	14037
1202	27102	14035
1203	27117	14009
1204	27132	13983
1205	27140	13952
1206	27157	13927
1207	27165	13897
1208	27173	13867
1209	27186	13840
1210	27195	13811
1211	27211	13785
1212	27219	13755
1213	27227	13725
1214	27234	13695
1215	27242	13666
1216	27272	13647
1217	27285	13620
1218	27309	13598
1219	27323	13572
1220	27346	13550
1221	27394	13540
1222	27406	13512
1223	27424	13488
1224	27437	13461
1225	27463	13440
1226	27502	13426
1227	27561	13421
1228	27611	13412
1229	27644	13395
1230	27658	13368
1231	27682	13346
1232	27703	13323
1233	27719	13298
1234	27734	13272
1235	27749	13246
1236	27762	13219
1237	27779	13194
1238	27792	13167
1239	27804	13139
1240	27817	13112
1241	27829	13085
1242	27843	13059
1243	27854	13031
1244	27869	13005
1245	27881	12978
1246	27896	12952
1247	27908	12925
1248	27929	12902
1249	27946	12877
1250	27961	12852
1251	27973	12825
1252	27987	12798
1253	28002	12773
1254	28020	12748
1255	28036	12723
1256	28045	12695
1257	28061	12669
1258	28127	12667
1259	28139	12640
1260	28164	12619
1261	28181	12594
1262	28246	12591
1263	28265	12567
1264	28276	12539
1265	28295	12516
1266	28308	12489
1267	28324	12464
1268	28383	12458
1269	28430	12446
1270	28437	12417
1271	28447	12389
1272	28455	12361
1273	28473	12336
1274	28482	12309
1275	28514	12290
1276	28522	12262
1277	28536	12236
1278	28545	12208
1279	28559	12182
1280	28579	12159
1281	28591	12132
1282	28623	12114
1283	28633	12086
1284	28684	12076
1285	28699	12051
1286	28709	12023
1287	28728	11999
1288	28738	11972
1289	28748	11944
1290	28760	11918
1291	28771	11891
1292	28786	11866
1293	28797	11839
1294	28861	11834
1295	28871	11807
1296	28883	11780
1297	28894	11753
1298	28902	11725
